run_id,client,security_req,jitter_ms,final_latency,start_state,new_state,chosen_algorithm,sv_score,decision_reason,pqc_sig_size,cls_sig_size
1,iot,2,211.4707622749241,223.93616227190094,classical,classical,ECDH-P-256 + ECDSA,0.3608510701824793,Score 0.36 < 0.6 (Stay Legacy),2420,71
2,iot,2,895.7548429044213,912.0490429010082,classical,classical,ECDH-P-256 + ECDSA,0.14,Score 0.14 < 0.6 (Stay Legacy),2420,72
3,iot,2,432.40700526998955,444.7570052686447,classical,classical,ECDH-P-256 + ECDSA,0.18419439578508423,Score 0.18 < 0.6 (Stay Legacy),2420,72
4,iot,2,82.78966317105063,97.98376316556057,classical,classical,ECDH-P-256 + ECDSA,0.4616129894675516,Score 0.46 < 0.6 (Stay Legacy),2420,71
5,iot,2,291.1112501884894,303.72975018709195,classical,classical,ECDH-P-256 + ECDSA,0.29701619985032646,Score 0.30 < 0.6 (Stay Legacy),2420,71
1,mobile,3,944.7616711581557,964.1616711551261,classical,classical,ECDH-P-384 + ECDSA,0.5000000000000001,Score 0.50 < 0.6 (Stay Legacy),3293,102
2,mobile,3,331.4443101030643,353.21141010175495,pqc,pqc,Kyber768 + Dilithium3,0.6174308719185961,Score 0.62 >= 0.6 (Security Critical - Upgrade),3293,103
3,mobile,3,473.1186413328469,490.87974133596737,pqc,pqc,Kyber768 + Dilithium3,0.5072962069312262,Score 0.51 > 0.4 (Maintain Security),3293,103
4,mobile,3,143.42794165291994,166.81474165205736,pqc,pqc,Kyber768 + Dilithium3,0.7665482066783542,Score 0.77 > 0.4 (Maintain Security),3293,102
5,mobile,3,85.53782315789637,103.6384231631724,pqc,pqc,Kyber768 + Dilithium3,0.8170892614694623,Score 0.82 > 0.4 (Maintain Security),3293,103
1,desktop,4,80.76576787146917,99.558067868621,pqc,pqc,Kyber768 + Dilithium3,1.0,Score 1.00 > 0.4 (Maintain Security),3293,102
2,desktop,4,67.8546993175958,86.81329931502125,pqc,pqc,Kyber768 + Dilithium3,1.0,Score 1.00 > 0.4 (Maintain Security),3293,104
3,desktop,4,587.3956059186231,613.4784059136823,classical,classical,ECDH-P-384 + ECDSA,0.0,Watchdog Override,3293,103
4,desktop,4,324.4739567229804,344.9669567261725,pqc,pqc,Kyber768 + Dilithium3,0.9840264346190619,Score 0.98 >= 0.6 (Security Critical - Upgrade),3293,104
5,desktop,4,180.52085803024497,203.08735803326107,pqc,pqc,Kyber768 + Dilithium3,1.0,Score 1.00 > 0.4 (Maintain Security),3293,102
1,server,5,621.3793827618554,649.0792827633463,classical,classical,ECDH-P-521 + ECDSA,0.0,Watchdog Override,4595,139
2,server,5,935.5858955815984,962.1323955753376,classical,classical,ECDH-P-521 + ECDSA,0.0,Watchdog Override,4595,138
3,server,5,805.1891445662932,830.0264445693044,classical,classical,ECDH-P-521 + ECDSA,0.0,Watchdog Override,4595,139
4,server,5,118.09819870751781,150.9160987026809,pqc,pqc,Kyber1024 + Dilithium5,1.0,Score 1.00 >= 0.6 (Security Critical - Upgrade),4595,137
5,server,5,58.58893508941676,81.87293508826657,pqc,pqc,Kyber1024 + Dilithium5,1.0,Score 1.00 > 0.4 (Maintain Security),4595,139
